Date,Open,High,Low,Close,Adjusted_close,Volume
2021-01-04,133.52,133.61,126.76,129.41,128.0871,143301900
2021-01-05,128.89,131.74,128.43,131.01,129.6707,97664900
2021-01-06,127.72,131.05,126.38,126.6,125.3058,155088000
2021-01-07,128.36,131.63,127.86,130.92,129.5816,109578200
2021-01-08,132.43,132.63,130.23,132.05,130.7001,105158200
2021-01-11,129.19,130.17,128.5,128.98,127.6615,100384500
2021-01-12,128.5,129.69,126.86,128.8,127.4833,91951100
2021-01-13,128.76,131.45,128.49,130.89,129.5519,88636800
2021-01-14,130.8,131,128.76,128.91,127.5922,90221800
2021-01-15,128.78,130.22,127,127.14,125.8403,111598500
2021-01-19,127.78,128.71,126.94,127.83,126.5232,90757300
2021-01-20,128.66,132.49,128.55,132.03,130.6803,104319500
2021-01-21,133.8,139.67,133.59,136.87,135.4708,120150900
2021-01-22,136.28,139.85,135.02,139.07,137.6483,114459400
2021-01-25,143.07,145.09,136.54,142.92,141.459,157611700
2021-01-26,143.6,144.3,141.37,143.16,141.6965,98390600
2021-01-27,143.43,144.3,140.41,142.06,140.6078,140843800
2021-01-28,139.52,141.99,136.7,137.09,135.6886,142621100
2021-01-29,135.83,136.74,130.21,131.96,130.611,177523800
2021-02-01,133.75,135.38,130.93,134.14,132.7687,106239800
2021-02-02,135.73,136.31,134.61,134.99,133.61,83305400
2021-02-03,135.76,135.77,133.61,133.94,132.5708,89880900
2021-02-04,136.3,137.4,134.59,137.39,135.9855,84183100
2021-02-05,137.35,137.42,135.86,136.76,135.5642,75693800
2021-02-08,136.03,136.96,134.92,136.91,135.7129,71297200
2021-02-09,136.62,137.88,135.85,136.01,134.8208,76774200
2021-02-10,136.48,136.99,134.4,135.39,134.2062,73046600
2021-02-11,135.9,136.39,133.77,135.13,133.9485,64280000
2021-02-12,134.35,135.53,133.69,135.37,134.1864,60145100
2021-02-16,135.49,136.01,132.79,133.19,132.0254,80576300
2021-02-17,131.25,132.22,129.47,130.84,129.696,97918500
2021-02-18,129.2,130,127.41,129.71,128.5759,96856700
