# s, count
0.11000,-0.05761
0.11069,-0.05595
0.11138,-0.05424
0.11207,-0.05243
0.11276,-0.05048
0.11345,-0.04834
0.11414,-0.04591
0.11483,-0.04324
0.11553,-0.04024
0.11622,-0.03698
0.11691,-0.03346
0.11760,-0.02955
0.11829,-0.02531
0.11898,-0.02061
0.11967,-0.01542
0.12036,-0.00963
0.12105,-0.00327
0.12174,0.00344
0.12243,0.01071
0.12312,0.01875
0.12381,0.02744
0.12450,0.03690
0.12520,0.04722
0.12589,0.05855
0.12658,0.07083
0.12727,0.08374
0.12796,0.09759
0.12865,0.11270
0.12934,0.12909
0.13003,0.14701
0.13072,0.16621
0.13141,0.18701
0.13210,0.20941
0.13279,0.23322
0.13348,0.25898
0.13417,0.28700
0.13486,0.31745
0.13556,0.35055
0.13625,0.38684
0.13694,0.42677
0.13763,0.47084
0.13832,0.51956
0.13901,0.57430
0.13970,0.63667
0.14039,0.70852
0.14108,0.79274
0.14177,0.89262
0.14246,1.01317
0.14315,1.16019
0.14384,1.34165
0.14453,1.56792
0.14523,1.85039
0.14592,2.20233
0.14661,2.63774
0.14730,3.17057
0.14799,3.81279
0.14868,4.57198
0.14937,5.44926
0.15006,6.43684
0.15075,7.51480
0.15144,8.65041
0.15213,9.79895
0.15282,10.90486
0.15351,11.90612
0.15420,12.73946
0.15489,13.34771
0.15559,13.68636
0.15628,13.72856
0.15697,13.46890
0.15766,12.92466
0.15835,12.13341
0.15904,11.14883
0.15973,10.03405
0.16042,8.85465
0.16111,7.67237
0.16180,6.53999
0.16249,5.49750
0.16318,4.57095
0.16387,3.77268
0.16456,3.10399
0.16526,2.55749
0.16595,2.11962
0.16664,1.77400
0.16733,1.50392
0.16802,1.29361
0.16871,1.12916
0.16940,0.99923
0.17009,0.89472
0.17078,0.80916
0.17147,0.73730
0.17216,0.67543
0.17285,0.62139
0.17354,0.57343
0.17423,0.53057
0.17492,0.49206
0.17562,0.45739
0.17631,0.42610
0.17700,0.39784
0.17769,0.37239
0.17838,0.34957
0.17907,0.32925
0.17976,0.31117
0.18045,0.29516
0.18114,0.28115
0.18183,0.26898
0.18252,0.25849
0.18321,0.24977
0.18390,0.24277
0.18459,0.23733
0.18529,0.23366
0.18598,0.23183
0.18667,0.23179
0.18736,0.23355
0.18805,0.23703
0.18874,0.24238
0.18943,0.24999
0.19012,0.26000
0.19081,0.27292
0.19150,0.28931
0.19219,0.31028
0.19288,0.33716
0.19357,0.37178
0.19426,0.41668
0.19495,0.47518
0.19565,0.55135
0.19634,0.64950
0.19703,0.77442
0.19772,0.93084
0.19841,1.12274
0.19910,1.35237
0.19979,1.61934
0.20048,1.91995
0.20117,2.24685
0.20186,2.58838
0.20255,2.92930
0.20324,3.25153
0.20393,3.53592
0.20462,3.76453
0.20532,3.92178
0.20601,3.99655
0.20670,3.98426
0.20739,3.88695
0.20808,3.71369
0.20877,3.47829
0.20946,3.19849
0.21015,2.89411
0.21084,2.58380
0.21153,2.28385
0.21222,2.00725
0.21291,1.76280
0.21360,1.55481
0.21429,1.38406
0.21498,1.24830
0.21568,1.14410
0.21637,1.06630
0.21706,1.00950
0.21775,0.96964
0.21844,0.94309
0.21913,0.92846
0.21982,0.92539
0.22051,0.93559
0.22120,0.96249
0.22189,1.01012
0.22258,1.08434
0.22327,1.19253
0.22396,1.34308
0.22465,1.54451
0.22535,1.80493
0.22604,2.13115
0.22673,2.52735
0.22742,2.99230
0.22811,3.51914
0.22880,4.09466
0.22949,4.69798
0.23018,5.30251
0.23087,5.87620
0.23156,6.38559
0.23225,6.79824
0.23294,7.08587
0.23363,7.22933
0.23432,7.22021
0.23502,7.06239
0.23571,6.77138
0.23640,6.37259
0.23709,5.89872
0.23778,5.38555
0.23847,4.86765
0.23916,4.37604
0.23985,3.93522
0.24054,3.56085
0.24123,3.26022
0.24192,3.03238
0.24261,2.86979
0.24330,2.75954
0.24399,2.68546
0.24468,2.63083
0.24538,2.57988
0.24607,2.51929
0.24676,2.43937
0.24745,2.33429
0.24814,2.20244
0.24883,2.04588
0.24952,1.86969
0.25021,1.68075
0.25090,1.48675
0.25159,1.29532
0.25228,1.11318
0.25297,0.94555
0.25366,0.79557
0.25435,0.66501
0.25505,0.55436
0.25574,0.46252
0.25643,0.38755
0.25712,0.32721
0.25781,0.27909
0.25850,0.24100
0.25919,0.21064
0.25988,0.18628
0.26057,0.16703
0.26126,0.15179
0.26195,0.13972
0.26264,0.13048
0.26333,0.12353
0.26402,0.11870
0.26471,0.11566
0.26541,0.11414
0.26610,0.11434
0.26679,0.11634
0.26748,0.11998
0.26817,0.12537
0.26886,0.13260
0.26955,0.14180
0.27024,0.15303
0.27093,0.16607
0.27162,0.18101
0.27231,0.19829
0.27300,0.21813
0.27369,0.24076
0.27438,0.26599
0.27508,0.29452
0.27577,0.32683
0.27646,0.36356
0.27715,0.40589
0.27784,0.45484
0.27853,0.51209
0.27922,0.57915
0.27991,0.65819
0.28060,0.75099
0.28129,0.85948
0.28198,0.98490
0.28267,1.12822
0.28336,1.28917
